matricule,first_name,last_name,date_naiss,gender,ministry,grade,diff_recens,diff_conges,diff_travail,actif
596611-N,Geneva,Zeale,1/14/1983,Polygender,MINSUP,D,11704170,926852,936804214,0
100483-M,Bernadina,Aveling,3/30/1986,Female,MINREX,B,5629471,4017514,27910509,0
365372-Y,Edithe,Morcombe,5/27/1973,Female,MINSEC,A,27025341,18350,1756832317,1
321101-U,Sherri,Varney,6/27/1970,Female,MINCOM,A,22684335,1126557,1341097577,1
543502-Q,Kane,Mitchenson,9/28/1986,Male,MINEDUB,B,23523844,422528,857325794,1
962306-R,Moore,Wilkerson,12/22/1980,Male,MINSUP,C,28526873,2161045,965589278,1
946655-T,Coleman,Neasham,6/27/1972,Male,MINSUP,C,15315058,3552325,709880584,1
589342-D,Andie,Khomich,5/12/2001,Male,MINREX,D,3174243,3941047,857938554,1
833477-N,Grange,Lethby,5/13/1985,Male,MINSUP,B,28563500,5317446,770594817,0
244711-S,Homerus,Allwell,1/29/1971,Male,MINSEC,A,5625016,3014378,1017157631,0
664065-Q,Granthem,Burt,4/28/1992,Male,MINEDUB,A,6773615,4693795,640266188,0
914452-P,Clare,Bensusan,5/28/1978,Male,MINSUP,D,28651283,1767401,1313972733,1
713032-V,Christoper,Dyche,5/28/1994,Male,MINSUP,D,26616060,2605003,1872872227,1
321643-D,Krista,Inold,3/7/1977,Female,MINSEC,D,16831122,1492907,341812472,0
196707-Z,Floyd,Cawsy,11/13/1976,Male,MINREX,D,29088879,510254,1163637723,0
687260-A,Lanita,Coverly,8/7/1976,Female,MINFI,C,15351071,4364189,521059181,1
968672-T,Harman,Niemiec,12/4/1984,Male,MINFI,B,18929990,2780643,1476752196,0
273020-N,Dunc,Hartfleet,1/8/1993,Male,MINCOM,C,10123747,3213459,1648728016,1
105600-K,Andy,Cousins,12/14/1996,Male,MINSEC,D,24228990,1510701,123240873,0
306797-D,Shaylyn,Spedding,3/12/1980,Female,MINFI,A,3457322,1084709,447406230,1
347702-I,Jojo,Frensch,10/9/1980,Female,MINSEC,A,4265173,3004516,807735469,0
275271-F,Horatia,Hucks,4/20/1985,Female,MINEDUB,B,18146636,441702,617936498,1
562368-J,Darcee,Crampsy,9/3/1986,Female,MINSEC,D,5684498,2056522,1015421134,0
638800-C,Prisca,Largent,4/5/1999,Agender,MINEDUB,B,21846437,745591,832615487,0
440203-J,Otho,Newarte,6/9/1997,Male,MINREX,D,21966224,5956533,1128856732,1
754764-E,Waylin,Hirthe,6/14/1999,Male,MINSUP,D,6695914,1353272,1042990548,1
122833-A,Almeria,Billanie,12/8/1991,Female,MINEDUB,C,20424580,463717,1670803159,1
140705-O,Carver,Dabinett,11/19/1988,Male,MINSEC,D,132720,3613050,397642006,1
362464-S,Cory,Samper,3/1/1978,Male,MINSEC,C,23871360,3450768,1971056768,1
114859-G,Emmalee,Tidridge,8/19/1993,Female,MINSEC,A,21110671,871934,463695022,1
667928-N,Esme,Crummy,4/9/1988,Male,MINSEC,C,28748474,5741398,563769046,1
528485-H,Dan,Blunsom,9/22/1980,Male,MINSUP,A,5918692,2956319,1149283801,1
497700-L,Kristy,Casper,4/7/2000,Female,MINEDUB,A,17569815,5725184,243869123,1
941497-I,Munmro,Lothlorien,4/2/1970,Male,MINSUP,A,20898196,3477458,711706934,0
872466-V,Buddie,Lexa,5/31/1990,Male,MINCOM,C,20621178,4771559,1911866680,1
494899-U,Basilius,Douty,1/29/1990,Male,MINREX,A,24178968,637936,1502483196,1
643185-T,Elene,Kinzel,7/20/1994,Female,MINEDUB,A,6949570,2984350,1906503016,0
826471-W,Douglas,Went,5/16/1995,Male,MINFI,A,4614737,2083414,1922552725,1
772477-S,Dominic,Blundon,10/31/1989,Male,MINCOM,D,1643971,1283608,447830357,1
255033-S,Layla,Gouley,8/31/1983,Polygender,MINSUP,A,3980355,3900076,1604546021,0
339289-W,Auguste,Agron,12/8/1984,Female,MINSEC,A,18861653,3703440,1172091883,1
282348-R,Milly,Drewry,8/20/1999,Female,MINSEC,B,2083741,3069978,1624784673,0
874725-N,Kathie,Airton,6/21/1988,Female,MINCOM,A,26125524,2248952,16317194,1
464220-S,Isadore,Rannie,9/29/1989,Male,MINSUP,C,8500010,1282805,1120976719,0
317844-Y,Burlie,Josselson,6/27/1987,Male,MINSEC,A,29405784,1094718,944862217,0
935016-A,Konrad,Lukehurst,8/27/1992,Bigender,MINCOM,D,26071519,1644555,675025850,1
862775-R,Skipp,Thornthwaite,8/28/1980,Male,MINEDUB,B,26366267,137969,336166054,0
199131-R,Ronalda,Borrott,8/3/1996,Female,MINCOM,C,27831342,4192947,937179009,0
839176-Q,Reuven,Pendrigh,9/14/1988,Male,MINCOM,A,22960888,3168595,665598308,1
239584-T,Kyrstin,Ransfield,7/31/1980,Female,MINSEC,B,27378257,293797,124702293,0
314955-O,Rasla,Noad,12/7/1976,Female,MINSUP,D,17508990,2410288,1687216509,1
756514-G,Julianne,Grigorey,7/30/1983,Female,MINREX,B,25453771,4846691,1279204683,0
572644-N,Jaquelyn,Shann,12/8/1975,Female,MINREX,B,4067637,5979782,582798472,0
072347-P,Robbyn,Grigor,10/15/1982,Genderqueer,MINSEC,D,14938041,1119057,77125104,0
003040-N,Brigg,Tybalt,1/1/1982,Male,MINFI,C,13875249,3191231,1957724002,1
603587-I,Fanni,Gransden,2/28/1972,Female,MINREX,A,24060021,4110650,145516226,1
544584-X,Toiboid,Lapenna,6/4/1985,Male,MINSEC,D,17141081,3375146,1842816191,1
270107-F,Nollie,Woliter,6/7/1974,Female,MINSEC,B,8446884,2051914,1531849708,1
135295-D,Jesse,Fortescue,12/6/1983,Male,MINSEC,D,4929654,3828737,1225255277,0
071324-R,Shina,Borell,6/10/1999,Female,MINSEC,B,29263690,578035,1368450358,0
506844-A,Jo,Mountlow,2/19/1981,Male,MINSUP,C,10161988,1109326,13452543,1
486748-Q,West,Forman,2/4/1992,Male,MINEDUB,D,25249742,1839457,1858087063,0
719524-D,Man,Mulcock,9/29/1987,Male,MINSUP,C,2148973,5175664,1162970162,1
255002-J,Dodie,Stear,3/7/1980,Female,MINEDUB,C,6210351,1297341,1446972897,0
232781-A,Karney,Buesden,11/8/1989,Male,MINEDUB,A,16551272,1816916,1687196874,0
517127-D,Pincas,Ferrand,10/18/1979,Male,MINSUP,B,13953317,841114,1307207237,1
705323-Z,Guthrie,Plester,11/5/1993,Male,MINCOM,A,9835942,2144211,1322991566,0
434116-K,Emmalynn,Scaice,10/13/1987,Female,MINSUP,A,13521282,3904188,1910155804,1
082395-B,Boone,Moffet,7/29/1982,Male,MINFI,A,19709676,3026152,550710802,0
567377-E,Cris,Linch,9/27/1975,Male,MINREX,B,7082917,4034249,412338921,1
365887-K,Terri,Haxby,7/4/1978,Bigender,MINCOM,B,15921134,4315340,306613689,1
429305-F,Debor,Toppin,6/25/1998,Female,MINCOM,A,2832192,340965,400838240,0
202007-N,Kary,Seavers,4/22/1984,Female,MINSUP,C,24021266,3665473,1158014899,1
760298-T,Patric,Emmison,1/14/1995,Male,MINFI,A,23377250,4639617,829326694,1
672449-K,Antonius,Roisen,1/15/1988,Male,MINCOM,A,6392699,5734740,1213562134,1
272654-M,Charles,Djokovic,8/27/1991,Male,MINCOM,A,27354154,5819661,1027072077,1
224085-W,Frankie,Locker,9/16/1981,Male,MINREX,A,3870149,486087,129074843,1
697569-I,Morgan,Clelland,4/12/1994,Bigender,MINCOM,B,22881846,2157635,21697350,1
091595-C,Thaine,Ivanyukov,2/3/1983,Male,MINREX,C,7606074,3948319,223423792,0
604699-M,Wait,Sainsberry,7/1/1972,Male,MINREX,B,20879822,4640464,247814634,0
144736-J,Brendon,Brimacombe,12/29/1970,Male,MINSUP,B,6463994,5606884,1701074583,1
880852-O,Mabelle,Hoggan,7/23/1974,Female,MINSUP,C,11298027,5569763,292621858,1
429990-Y,Mylo,Mallabon,5/27/1989,Male,MINCOM,D,7671088,3654611,1488454715,1
126302-D,Wang,Ewebank,10/27/1990,Male,MINREX,C,23649959,2257052,676220935,1
896366-U,Othilie,Thursby,9/4/1992,Female,MINFI,D,19790008,1651231,446458307,0
046919-V,Shirl,Hewins,8/19/1999,Female,MINREX,D,11204930,2838649,1236603282,1
053918-B,Daron,Ekkel,9/9/1982,Female,MINSEC,A,4094315,3029416,1901093394,0
569330-B,Gerianne,Chessman,4/12/1990,Female,MINSUP,B,28360603,3366221,1646316955,0
031234-A,Eberto,Westcott,2/19/1993,Male,MINEDUB,C,12198450,336301,1828568659,0
009508-K,Guillema,Gandey,3/26/1977,Female,MINREX,A,16523360,5498455,18267182,0
685247-J,Susette,Neaverson,10/27/1982,Female,MINSUP,C,28702367,4566973,390492129,1
719050-M,Reagen,Mattersey,11/10/1989,Male,MINFI,C,25114998,1044889,1670788793,1
258877-R,Doralia,Radmore,7/28/1986,Female,MINSUP,B,12035569,1215189,784159112,1
252779-G,Kenon,Torricina,6/24/1984,Male,MINCOM,D,5998530,5333862,1099232962,0
317658-R,Bald,Vitte,1/1/1992,Male,MINSEC,D,21304148,1627060,1581342227,1
700997-J,Thornton,Broadbere,12/12/1981,Male,MINSEC,A,6966872,5369231,1914831133,0
218427-V,Alard,Hoogendorp,6/9/1996,Male,MINFI,D,6742034,609616,1160714302,1
402213-P,Matty,Berardt,12/15/1980,Male,MINREX,C,17017098,1611434,1926780544,1
624116-L,Robers,Hargrove,7/10/1981,Male,MINREX,C,23052179,1081735,1864728111,0
932058-P,Wolf,Wroath,7/2/1990,Male,MINSEC,B,6041006,855071,1604256307,1
892389-K,Ethan,Rummings,8/6/1975,Male,MINEDUB,C,24314882,5379569,232822905,0
181454-Z,Elbertine,Cicchetto,5/6/1987,Female,MINREX,A,27748231,3007352,1430378179,1
682380-D,Byron,Almon,2/23/1977,Male,MINCOM,A,13741459,504509,431635747,1
216477-K,Yvette,Matieu,10/30/1999,Female,MINFI,D,2676560,3232036,393053821,1
994086-S,Valentine,McGilleghole,5/17/1999,Genderfluid,MINSEC,D,28342535,1817526,252668953,0
890974-P,Noemi,Poplee,4/4/1997,Female,MINSEC,B,2649273,330019,1695443086,0
546267-D,Dolli,Bowring,12/20/1985,Female,MINFI,A,3246401,5486938,515824626,0
982195-B,Winfield,Tomaini,3/1/1980,Male,MINCOM,B,22016887,647923,1315229161,1
808790-Z,Arlen,Janacek,6/17/1984,Male,MINREX,C,21783120,2645991,744021205,0
897414-C,Yardley,Scrancher,6/14/1981,Male,MINCOM,B,4648316,5654521,825900404,0
518630-M,Kellia,Worgen,10/14/2001,Female,MINEDUB,B,13389427,3037031,1211810734,0
511334-O,Lynnelle,Causnett,11/4/1988,Female,MINFI,D,21257949,4004219,1482837400,1
763049-U,Joshuah,Withrington,1/29/1989,Male,MINCOM,D,11924807,1959561,165830323,1
231071-H,Madelin,Theuff,9/27/1991,Female,MINREX,D,7342583,5722874,30101667,1
146508-Y,Evelyn,Lewry,9/28/1974,Male,MINSUP,A,28711343,1183427,365965988,1
996562-Z,Alanna,Swait,7/3/1980,Female,MINSUP,B,6996815,729256,1498664566,1
348957-G,Enid,Waldram,6/8/1994,Female,MINEDUB,B,9833833,1933767,1846884848,0
817370-Q,Chantal,Lewis,2/13/1999,Female,MINSUP,B,3175551,5804380,650933877,0
697607-K,Kynthia,Aggis,1/6/1991,Female,MINREX,A,27567352,5112768,1423524296,0
629081-A,Stephen,Dellenbrook,10/6/1989,Male,MINCOM,C,4831843,989131,1269140115,1
302753-T,Marlo,Weldrake,11/15/1970,Female,MINSEC,C,15618385,145579,1822803462,0
985181-L,Colly,O'Fergus,10/17/1971,Female,MINCOM,B,11021824,3558937,115573197,1
874171-W,Liesa,Sapauton,1/7/1992,Female,MINEDUB,B,2851345,2644435,84924879,1
187528-V,Hill,Aleso,7/14/1982,Male,MINFI,C,5690347,3227457,814333828,0
332968-H,Westbrooke,Cronshaw,7/13/1988,Male,MINREX,A,6348223,2223696,1498805360,0
381963-O,Angelia,Riply,10/8/1981,Female,MINSUP,B,12445492,1076658,1172727948,0
677102-T,Paule,Flew,2/12/1981,Non-binary,MINSEC,B,6384734,998319,1884222015,0
885619-O,Roseann,Pinchen,12/25/1991,Female,MINSEC,C,21841244,2085239,922017135,1
422439-K,Martha,Back,1/10/1982,Female,MINSEC,D,26142966,3469211,176677625,0
652085-U,Bethany,Gatlin,3/28/1996,Female,MINSUP,A,24129773,3780180,1221528725,1
051342-Z,Melody,Kattenhorn,5/18/2001,Female,MINFI,B,21503942,3779414,1710012505,0
819043-U,Fernandina,Ritchie,11/15/1987,Female,MINREX,A,728318,5794083,1574649724,0
059545-I,Therese,Stollenbeck,7/17/1973,Female,MINFI,A,26117070,2714276,1184982919,0
731648-J,Isabella,Trunchion,4/3/2001,Female,MINEDUB,B,18795679,4441875,1071808590,0
017764-H,Matthias,Lacroutz,2/8/1994,Male,MINEDUB,D,22146424,5900348,1420531378,1
598952-R,Adore,Gaule,5/6/1980,Female,MINSUP,D,8059766,3429250,654934421,0
286225-D,Bren,MacKnight,6/30/1989,Male,MINSEC,C,24722272,5590251,873898725,0
905993-E,Lisle,Reuben,10/18/1993,Male,MINFI,C,23147809,5124678,261434357,1
900918-T,Delmer,Holbie,8/19/1988,Male,MINFI,D,10184894,425488,822763459,1
217322-I,Bard,Patrickson,11/16/1993,Male,MINSEC,B,13048926,1541463,1863782029,0
046614-D,Steffen,Stickley,2/16/1972,Genderqueer,MINCOM,C,8818946,2516436,544200865,1
776127-T,Pat,Harsum,1/15/1997,Female,MINEDUB,C,26955418,4158556,1242237851,0
539001-K,Stephan,Szwarc,7/4/1998,Male,MINEDUB,B,5196795,3343779,1983768515,1
902257-W,Naomi,Ohm,8/7/1979,Female,MINREX,D,29703010,891344,1003293656,1
002830-M,Wrennie,McMarquis,8/25/1986,Agender,MINEDUB,A,12857370,2395006,1537190666,1
254560-D,Tobe,Linnemann,10/13/1974,Female,MINFI,D,15894154,708091,1981561039,0
139488-N,Rakel,Hannum,9/5/1975,Female,MINEDUB,B,23787412,269178,1124364706,0
905868-H,Decca,McGifford,6/16/1989,Male,MINFI,D,25678869,5902780,100675662,0
348572-Z,Wildon,Antognetti,4/5/1991,Agender,MINFI,D,14223811,1849730,842370068,0
039436-F,Kari,Beamont,7/8/1977,Female,MINSUP,C,17708897,2085766,250416097,0
323992-W,Simon,Heinschke,6/4/1980,Agender,MINFI,A,787186,5505398,419404017,1
400418-U,Calida,Bampfield,8/26/1990,Female,MINEDUB,D,14391800,1522018,7751321,0
359855-E,Rani,Izzat,5/18/1995,Female,MINEDUB,B,14512765,3626050,1941648537,0
152633-A,Cornie,Glasbey,6/28/1970,Female,MINREX,B,24789635,3015036,837781859,0
876782-I,Tandy,Cowlard,2/15/1983,Female,MINSEC,B,23064332,2879422,1535449892,1
569950-W,Farleigh,Doag,10/27/1982,Male,MINFI,B,11186104,4902569,22560995,1
759420-A,Noach,Townsley,11/11/1980,Bigender,MINREX,B,20008849,1175757,137460733,0
539950-I,Cornelius,Teodorski,2/20/1992,Male,MINREX,C,9816357,3909151,1443088982,1
973824-D,Elisha,Proven,7/15/1980,Male,MINREX,B,2486080,5518594,197405318,0
218128-V,Alexis,Dwyr,3/21/2001,Male,MINCOM,D,10098709,2724438,1400750514,1
602179-E,Norbert,Ingledew,10/2/1988,Male,MINSUP,A,6017647,1236625,716627149,0
478738-H,Roman,Lochet,3/15/2001,Male,MINSEC,D,1781706,3158703,984349808,1
022552-S,Jamill,Naulls,6/12/1978,Male,MINSEC,D,11579198,5777908,1127772162,1
143412-F,Mayne,Hradsky,11/7/1991,Male,MINREX,A,26432293,2737809,638986773,1
104572-I,Sigfried,Harrismith,4/15/1980,Male,MINSEC,D,27818306,3072376,923271054,1
200256-H,Kirby,Overington,7/9/1988,Male,MINFI,D,17248465,819444,337617826,1
659197-F,Kristina,Bims,1/7/1989,Female,MINSUP,C,12007649,898356,237298087,0
733121-B,Myca,Peabody,3/6/1971,Male,MINCOM,C,19732164,3888151,1168015170,1
638154-S,Tann,Fearnley,11/9/1985,Male,MINCOM,D,28044527,1690164,1400457482,1
442668-Y,Aviva,Schermick,10/19/1977,Polygender,MINREX,A,12373506,4448402,796950886,0
635288-B,Sigismond,Throughton,6/13/1976,Male,MINFI,D,3911141,1475854,531156711,1
268430-I,Kylila,Stapels,3/25/1976,Female,MINEDUB,B,4504980,2018957,28538028,0
207130-Z,Xymenes,Jozefowicz,11/22/1997,Male,MINREX,A,19106273,2885025,288989707,0
890618-C,Rolfe,Clooney,7/18/1980,Male,MINCOM,C,13200257,5777795,510491955,0
475742-F,Mordy,Stather,12/20/1989,Male,MINREX,C,4631091,5700908,1719679863,0
038134-C,Tannie,Sidary,1/7/1977,Male,MINEDUB,B,8485348,3711110,1892401973,1
523549-H,Anni,Corbett,5/10/1975,Female,MINSEC,A,4593021,3125754,1521144205,0
007061-O,Herve,Dunsford,3/28/1977,Male,MINREX,B,26895533,5895365,200143162,1
397347-X,Mindy,Vecard,8/23/1970,Female,MINSEC,A,7834578,4193346,1641253752,0
403195-K,Joe,Dunne,2/24/1981,Male,MINSEC,C,16327181,118270,1995643990,1
012238-Z,Lennard,Giurio,6/1/1995,Male,MINSEC,A,4364989,3492744,524231502,0
176355-N,Felike,Sedgebeer,3/2/1985,Male,MINEDUB,A,6817459,2795413,448363709,0
038803-R,Poul,Tisor,10/17/2001,Male,MINSUP,D,13727189,5672019,926235554,1
383673-R,Alwyn,Mowen,1/19/1975,Male,MINREX,A,17238750,4487696,1392876816,0
875893-N,Elwyn,Regus,8/25/1983,Male,MINREX,A,49496,3406846,1005554232,0
155482-C,Franky,Danshin,1/10/1975,Female,MINSEC,C,8953883,5876389,711435142,0
089286-W,Berny,Hawes,11/14/1995,Male,MINSEC,D,6446747,5910167,442686201,1
351165-S,Lorrie,Eric,12/23/1988,Male,MINREX,C,1220990,1306091,1158120785,1
192054-X,Britni,Van Velden,4/3/1986,Female,MINEDUB,D,12218146,2603580,1189960999,0
592375-R,Page,Van Hesteren,8/30/1970,Polygender,MINCOM,C,1476042,4062729,1734111130,1
319098-H,Roddy,Warrener,10/10/1989,Male,MINFI,A,26886119,3451449,614035976,1
132767-H,Marji,Lemon,3/19/1976,Female,MINSUP,D,14759306,4765787,1331285910,0
524109-H,Reuben,Hearson,5/20/1974,Male,MINEDUB,A,24820962,1824110,1088372625,1
861983-O,Auberta,Truse,1/6/2002,Female,MINSEC,A,8101705,39084,506318635,0
862507-T,Enrique,Brunone,8/15/1993,Polygender,MINFI,D,12960627,4340623,1107873798,0
241100-B,Freida,Screach,5/25/1982,Female,MINSUP,C,27428568,96362,871769587,0
880524-S,Farr,Wilacot,11/19/1973,Male,MINSEC,B,5019338,323293,1563963740,0
399227-B,Bord,Mattocks,11/16/1970,Male,MINREX,A,15926135,4847187,808944120,0
091200-P,Eryn,Rohan,7/4/1983,Agender,MINFI,B,19640079,5248827,1297944587,0
590589-Z,Edvard,Bartoszinski,8/6/1975,Male,MINSUP,D,5598869,380506,1784674041,0
337721-N,Nicolis,Mainson,12/8/1976,Male,MINSEC,D,24909564,227024,642814812,1
587827-P,Ardine,Brandes,3/21/1973,Agender,MINSEC,A,26863941,672260,777490926,0
861185-M,Barnie,Dzenisenka,9/6/1975,Male,MINFI,B,16341133,124720,775686835,0
107368-U,Kara-lynn,Dwine,8/9/1974,Female,MINREX,A,14380034,2241576,685167093,0
949012-E,Lani,Seiller,7/18/1997,Female,MINCOM,C,333215,1967846,1923839389,1
725272-K,Tony,Bonder,6/23/1974,Female,MINCOM,A,13086081,1337330,1792462894,0
989824-Y,Travus,Yirrell,9/28/1978,Non-binary,MINSEC,A,1875483,4248188,1061320402,0
845386-L,Rochella,Habden,2/10/1982,Female,MINREX,C,26501082,5506004,1963527516,0
791188-T,Cordey,Abrams,11/18/1980,Female,MINCOM,A,5405011,2841158,1744782758,0
035438-O,Florida,Allenby,4/24/2002,Female,MINFI,B,18806035,2050091,200965786,0
884768-N,Jennette,Coldman,9/8/1997,Female,MINSUP,A,29695450,3889960,472414003,0
870074-V,Casie,McCollum,5/12/2001,Female,MINFI,A,24686784,5337581,1841905864,0
530936-L,Cordy,Forgan,11/7/1970,Genderqueer,MINREX,B,26204844,5028945,758865836,1
247429-I,Corbett,Devenny,8/9/2001,Male,MINFI,C,8380784,3384309,1133399723,1
649259-V,Mikol,Martine,8/20/1993,Male,MINREX,A,2787681,1170577,340462394,1
404776-U,Kip,Dodson,6/14/1991,Genderqueer,MINSUP,C,12578828,5480535,1986436197,1
594228-Z,Anabella,Domenge,2/18/1976,Female,MINFI,B,22972521,5539660,164288745,0
980885-S,Papageno,Swede,9/15/1996,Male,MINCOM,C,19387370,2926403,47603698,1
503541-K,Duky,Storck,6/2/1982,Male,MINSUP,D,29744131,4155074,628162958,0
216247-S,Lindy,Stelfox,8/13/1975,Male,MINEDUB,A,12897028,1321818,396905771,0
506574-B,Winnie,Minto,7/6/1997,Genderqueer,MINCOM,A,17595824,3716350,1564422786,1
077681-A,Germaine,McMorland,2/22/1991,Male,MINEDUB,A,27023876,5784359,77266714,1
342849-G,Hersh,Outlaw,10/18/2000,Male,MINCOM,A,27214146,2381148,1114169187,0
467634-G,Riobard,Kynastone,12/15/1986,Male,MINSEC,A,16290226,5491679,273286535,1
386605-L,Paolo,Cassells,12/5/1971,Male,MINCOM,C,28014291,1291168,418457279,1
995339-E,Melony,Whapham,9/24/1991,Female,MINCOM,D,9169126,3150182,1045275908,1
124610-F,Claybourne,Hartzogs,4/12/1973,Male,MINCOM,A,1064879,81723,1313755510,0
588560-F,Alick,MacDavitt,5/6/1978,Male,MINCOM,D,28067411,1117568,119298525,0
002178-I,Ilka,Kovnot,1/13/1979,Female,MINREX,D,21739697,83623,1336931334,1
263326-D,Lanie,Midford,5/28/1976,Male,MINFI,C,27186949,5408929,670945735,1
478361-G,Agnese,Chamberlin,6/9/2000,Female,MINFI,C,8457752,926838,80094615,0
130598-W,Nevile,Cristou,6/5/1994,Male,MINEDUB,C,5653668,1087404,1387812412,0
464230-G,Yetta,Rosenau,5/6/1980,Genderfluid,MINSUP,B,5218651,4954867,1951454653,1
520815-F,Sayers,Minico,4/5/1984,Male,MINFI,A,9816046,3118139,618556822,1
290967-T,Denys,Freund,2/14/1976,Male,MINFI,B,6236068,3570798,847176315,1
771271-V,Reggis,Byron,12/6/1988,Male,MINEDUB,B,5443288,4107465,566919841,1
999330-P,Granny,Ponnsett,6/19/1975,Male,MINEDUB,B,464710,5498610,901271053,0
363282-S,Romola,Skews,11/26/1975,Female,MINEDUB,A,18536674,1926995,1862970460,1
402612-D,Shepherd,Jasik,11/27/1994,Non-binary,MINSEC,A,6223013,2753282,691811933,0
878406-K,Normie,Hunsworth,12/19/1985,Male,MINFI,C,5907064,996995,1268003676,1
265215-F,Letitia,Andreini,6/12/1974,Female,MINSUP,B,6851154,3613113,395449529,0
428216-L,Kaleena,Earngy,9/14/1973,Female,MINFI,A,105692,5250737,704097094,0
159194-G,Cobby,Keiley,11/26/1991,Male,MINSUP,D,2974607,5798868,1976386717,1
578182-V,Pierce,Mattecot,9/30/1989,Male,MINCOM,C,20749307,2359067,1093792737,1
489605-P,Caitlin,Colvine,12/15/1977,Female,MINREX,B,11837914,1971914,850998218,0
958494-Q,Tab,Bartleet,11/10/1995,Male,MINSEC,D,6800495,3176822,542996168,0
510590-O,Harmony,Thurner,2/7/1973,Female,MINSEC,D,22382595,4304464,348443047,1
299628-R,Hort,Egre,9/10/1988,Male,MINFI,A,1800226,1252523,536619718,1
825314-H,Florina,Handmore,8/27/1989,Female,MINSEC,D,5538583,4883716,1808772713,0
117609-S,Sebastian,Conningham,9/28/1990,Male,MINREX,D,7794407,5313651,536812968,0
363575-U,Hernando,Adamiak,11/22/1976,Male,MINEDUB,D,17699679,5520366,1816894350,0
752019-E,Sven,Poolton,11/28/1993,Male,MINCOM,D,19379884,4672895,382406820,1
519735-G,Giraldo,Trundle,4/23/1974,Non-binary,MINFI,C,21402908,2018890,1367718726,1
612445-V,Kent,Dorgan,7/13/1996,Male,MINFI,A,25907409,2198450,1992493324,0
787718-H,Vivie,Stanmore,11/15/1993,Genderqueer,MINEDUB,C,17172037,2126787,185032182,0
600005-L,Marne,Stracey,7/23/1991,Female,MINCOM,D,2225466,2988442,1022523103,0
966244-H,Emlyn,Kite,6/5/1993,Male,MINSEC,C,6848135,3923631,218856950,1
080657-R,Zared,Armsby,6/20/1977,Male,MINFI,A,20454606,572748,551323537,1
582400-Q,Gavin,Mauger,12/19/1990,Male,MINEDUB,D,27634938,5178782,180355907,0
587889-V,Elias,Pearle,8/11/1985,Male,MINSUP,B,15846359,5841835,111701209,0
900318-Y,Emeline,Gluyas,10/16/1974,Female,MINFI,A,9974765,5466677,1114028103,1
974165-L,Brittney,Ewebank,8/26/1971,Female,MINSUP,B,19543457,1977347,1417567404,0
764225-Q,Michal,Mobbs,4/14/1978,Male,MINCOM,B,11477301,2282890,184253214,0
719992-U,Deny,Infantino,1/10/1987,Female,MINSEC,C,28484671,3700545,1959126278,0
